linear,sRGB
13.84783594,14.17228929
17.45226986,17.9176999
19.5982911,20.32475989
21.24946636,22.31028687
22.54455945,23.91830765
23.53918017,25.21981419
24.34837993,26.30296056
25.01024093,27.24057834
25.57589122,28.0534242
26.04952591,28.74128358
26.4383502,29.34573828
26.78269259,29.92481815
27.08187958,30.37331288
27.3474901,30.80712138
27.58621543,31.25444093
27.80919564,31.61392873
28.00959667,31.99407466
28.18318588,32.22903192
28.33814456,32.60272513
28.48847934,32.82209708
28.63072941,33.18854364
28.75554062,33.28874681
28.87590901,33.66680365
28.96986065,33.89140917
29.08528387,34.06602881
29.17601541,34.28118884
29.25984542,34.37128704
29.35068025,34.69777959
29.42340711,34.9089
29.49311799,34.987891
29.56518237,35.12731291
29.63110728,35.3279489
29.69419248,35.55065271
29.74555664,35.66450482
29.79663912,35.89436156
29.86132093,35.88786011
29.91507778,36.09954584
29.95992872,36.32704509
30.00561764,36.42203353
30.05375441,36.53519807
30.08653588,36.58120645
30.13769657,36.73476168
30.17838818,36.85204331
30.21295382,36.978944
30.23856536,37.02094318
30.28752027,37.14230472
30.32220346,37.20961532
30.35533512,37.35764428
30.38808784,37.44716305
30.40923345,37.57272765
30.44728479,37.55451028
30.47419161,37.79114585
30.5001145,37.85413249
30.5347182,37.77026398
30.55431112,37.74744375
30.58451866,37.99982191
30.61582708,37.94446438
30.64007346,38.08775432
30.65716055,38.07988149
30.68402181,38.06918116
30.70827697,38.13231411
30.74003428,38.20884557
30.75847167,38.18828458
30.77824217,38.23653851
30.80577622,38.27916321
30.81838847,38.20990195
30.83228038,38.09044185
30.86357213,38.21858942
30.88532882,37.91786425
30.90414948,38.19926585
30.92598281,38.13801571
30.92397632,38.10802169
30.96040099,37.88574913
30.97481213,37.79239072
31.00359254,37.91350432
31.01161513,37.80831302
31.03795613,37.93426745
31.05658437,37.87954159
31.07514195,37.85275263
31.09358839,37.7867739
31.10081818,
31.12503509,
31.13770335,
31.15751033,
31.18198859,
31.18576198,
31.2139296,
31.21947248,
31.19040361,
31.17620655,
31.28005266,
31.29612895,
31.30465381,
31.17990503,
31.28387185,
31.28312688,
31.34609372,
31.30142605,
31.38976963,
31.3253126,
